rcasiteid,samp,upedon,TOP,BOT,Bulkdensity,SOC_pred1,Texture,fragvolc,c_tot_ncs,n_tot_ncs,s_tot_ncs,caco3,SOCstock5,SOCstock30,SOCstock100,Land_Use,lon,lat,geometry
C0120P02,C0120P021-4,C0120P021,29,38,1.252709416,2.549577268,sl,0.0,2.33355677,0.19846998,0.03069123,0.089894,33.3575618734002,167.245150004188,377.037688606462,Pastureland,-124.49,42.8,POINT (-124.49 42.8)
C0120P02,C0120P021-5,C0120P021,38,49,0.922443723,4.924962905,sl,0.0,4.90446086,0.39671456,0.04111032,6.710028539781591,33.3575618734002,167.245150004188,377.037688606462,Pastureland,-124.49,42.8,POINT (-124.49 42.8)
C0120P02,C0120P021-6,C0120P021,49,78,1.422302384,3.404323932,sl,0.0,3.30038105,0.29760899,0.03078714,0.135907,33.3575618734002,167.245150004188,377.037688606462,Pastureland,-124.49,42.8,POINT (-124.49 42.8)
C0120P02,C0120P021-7,C0120P021,78,100,1.591159582,1.004357826,lfs,0.0,0.51470916,0.07497732,0.03140942,0.096661,33.3575618734002,167.245150004188,377.037688606462,Pastureland,-124.49,42.8,POINT (-124.49 42.8)
C0104F03,C0104F031-1,C0104F031,0,5,1.053552185,4.276001284,sil,0.0,8.6964901,0.35442848,0.03118139,0.153346,49.7308270869072,154.89369752297,170.74446555211804,Forestland,-124.48,46.8,POINT (-124.48 46.8)
C0104F03,C0104F031-2,C0104F031,5,30,0.917192932,2.518409178,sil,0.0,4.60916123,0.27234541,0.02588835,0.190575,49.7308270869072,154.89369752297,170.74446555211804,Forestland,-124.48,46.8,POINT (-124.48 46.8)
C0104F03,C0104F031-3,C0104F031,30,50,1.085680347,1.446075109,sil,0.0,1.59575557,0.15422895,0.03084579,0.305981,49.7308270869072,154.89369752297,170.74446555211804,Forestland,-124.48,46.8,POINT (-124.48 46.8)
C0104F03,C0104F031-4,C0104F031,50,70,1.42245945,1.456658919,sil,0.0,0.91376371,0.1333213,0.03794529,0.184486,49.7308270869072,154.89369752297,170.74446555211804,Forestland,-124.48,46.8,POINT (-124.48 46.8)
C0104F03,C0104F031-5,C0104F031,70,100,1.314953736,1.723226526,None,0.0,7.094038858103031,0.27320360773939395,0.0181003231030303,2.4208391408250356,49.7308270869072,154.89369752297,170.74446555211804,Forestland,-124.48,46.8,POINT (-124.48 46.8)
C0120P01,C0120P011-1,C0120P011,0,5,0.71229038,7.007260088,l,0.0,10.27852441,0.78080556,0.03747867,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0120P01,C0120P011-2,C0120P011,5,21,0.771297992,6.014242734,l,0.0,9.26705927,0.71045027,0.02912534,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0120P01,C0120P011-3,C0120P011,21,37,0.868266446,4.054739331,l,0.0,4.62233299,0.37447536,0.05497838,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0120P01,C0120P011-4,C0120P011,37,50,0.841382969,3.48577133,sil,0.0,3.92771892,0.33075528,0.0403108,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0120P01,C0120P011-5,C0120P011,50,78,1.36851074,1.573144934,sil,0.0,1.4342821,0.17813354,0.03583146,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0120P01,C0120P011-6,C0120P011,78,120,1.443349187,1.094452657,cl,0.0,0.9195542,0.12729156,0.03971497,6.710028539781591,36.6064702891909,187.089847333429,336.497591552559,Pastureland,-124.48,42.9,POINT (-124.48 42.9)
C0118F01,C0118F011-1,C0118F011,0,5,0.657113174,5.48219542,cl,12.0,7.61563207,0.68759469,0.09584653,0.090373,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0118F01,C0118F011-2,C0118F011,5,13,1.025217322,4.206703714,cl,12.0,4.32357513,0.4127518,0.05675337,0.060294,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0118F01,C0118F011-3,C0118F011,13,25,1.235906157,2.035314176,cl,12.0,2.0974537,0.26732253,0.03701389,0.143137,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0118F01,C0118F011-4,C0118F011,25,50,1.447172503,1.338900457,c,12.0,1.05388177,0.22510096,0.02148691,0.067966,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0118F01,C0118F011-5,C0118F011,50,74,1.272150559,1.340194241,c,12.0,0.81594549,0.18358774,0.03263782,0.150703,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0118F01,C0118F011-6,C0118F011,74,120,1.289913095,1.706590801,c,12.0,0.76396194,0.17316471,0.0254654,0.406203,21.9877060782237,86.9497893924095,157.271141223315,Forestland,-124.43,42.91,POINT (-124.43 42.91)
C0104P04,C0104P041-1,C0104P041,0,5,1.34737422,7.876372044,sil,0.0,12.03453479,1.02041073,0.09993713,6.710028539781591,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104P04,C0104P041-2,C0104P041,5,22,0.950681063,5.668623671,sil,0.0,9.51067463,0.85123165,0.08091955,6.710028539781591,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104P04,C0104P041-3,C0104P041,22,42,0.885294852,5.066226217,sil,0.0,6.73385883,0.55591046,0.04300439,6.710028539781591,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104P04,C0104P041-4,C0104P041,42,50,0.888294635,5.152474718,sil,0.0,5.69805389,0.46087201,0.03351796,6.710028539781591,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104P04,C0104P041-5,C0104P041,50,66,1.288656453,4.98597397,sil,0.0,5.00626363,0.39715661,0.02926417,0.053275,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104P04,C0104P041-6,C0104P041,66,100,1.186550534,2.334627799,None,0.0,2.5822084404162537,0.2097241602477701,0.05629034087215065,6.710028539781591,75.2188252541466,276.617940245121,126.98879365406613,Pastureland,-124.38,47.95,POINT (-124.38 47.95)
C0104F07,C0104F071-1,C0104F071,0,6,0.945458201,48.45,PM,0.0,47.7112656,1.18599035,0.0,2.4208391408250356,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0104F07,C0104F071-2,C0104F071,6,13,1.2818957,35.36292107,sil,0.0,41.47481206,1.48084263,0.14808426,0.229209,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0104F07,C0104F071-3,C0104F071,13,22,0.614945264,14.17272224,sil,0.0,12.01496126,0.69481538,0.06306786,0.248622,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
C0104F07,C0104F071-4,C0104F071,22,39,0.651362023,7.538327072,sil,0.0,6.60642099,0.42348853,0.03387908,0.26341,159.78853441655,624.8301230048,170.74446555211804,Forestland,-124.26,47.74,POINT (-124.26 47.74)
